l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
8.050292e-08,80.5029,5.468794e+02,7.152138e+01,0.883456,0
8.162509e-08,81.6251,5.622320e+02,7.268406e+01,0.888476,0
8.276289e-08,82.7629,5.780157e+02,7.386565e+01,0.893497,0
8.391656e-08,83.9166,5.942425e+02,7.506645e+01,0.898518,0
8.508632e-08,85.0863,6.109248e+02,7.628676e+01,0.903539,0
8.627237e-08,86.2724,6.280754e+02,7.752692e+01,0.908559,0
8.747496e-08,87.4750,6.457075e+02,7.878723e+01,0.913580,0
8.869432e-08,88.6943,6.638346e+02,8.006803e+01,0.918601,0
8.993067e-08,89.9307,6.824706e+02,8.136966e+01,0.923621,0
9.118425e-08,91.1843,6.940803e+02,8.269244e+01,0.923944,1
9.245531e-08,92.4553,6.845382e+02,8.403673e+01,0.910929,0
9.374409e-08,93.7441,6.751273e+02,8.540287e+01,0.897913,0
9.505083e-08,95.0508,6.658458e+02,8.679122e+01,0.884898,0
9.637579e-08,96.3758,6.566919e+02,8.820214e+01,0.871883,0
9.771921e-08,97.7192,6.476638e+02,8.963599e+01,0.858867,0
9.908137e-08,99.0814,6.387598e+02,9.109316e+01,0.845852,0
1.004625e-07,100.4625,6.299782e+02,9.257401e+01,0.832836,0
1.018629e-07,101.8629,6.213174e+02,9.407894e+01,0.819821,0
1.032828e-07,103.2828,6.127757e+02,9.560833e+01,0.806806,0
1.047225e-07,104.7225,6.043513e+02,9.716258e+01,0.793790,0
1.061823e-07,106.1823,5.960428e+02,9.874210e+01,0.780775,0
1.076624e-07,107.6624,5.878485e+02,1.003473e+02,0.767760,0
1.091632e-07,109.1632,5.797669e+02,1.019786e+02,0.754744,0
1.106848e-07,110.6848,5.717964e+02,1.036364e+02,0.741729,0
1.122277e-07,112.2277,5.639354e+02,1.053212e+02,0.728714,0
1.137921e-07,113.7921,5.561825e+02,1.070333e+02,0.715698,0
1.153783e-07,115.3783,5.485362e+02,1.087733e+02,0.702683,0
1.169866e-07,116.9866,5.409950e+02,1.105416e+02,0.689668,0
1.186174e-07,118.6174,5.335575e+02,1.123386e+02,0.676652,0
1.202708e-07,120.2708,5.262223e+02,1.141648e+02,0.663637,0
1.219473e-07,121.9473,5.189879e+02,1.160207e+02,0.650622,0
1.236472e-07,123.6472,5.118529e+02,1.179068e+02,0.637606,0
1.253708e-07,125.3708,5.048161e+02,1.198236e+02,0.624591,0
1.271184e-07,127.1184,4.978759e+02,1.217715e+02,0.611576,0
1.288904e-07,128.8904,4.910312e+02,1.237511e+02,0.598560,0
